Taxon	Taxon Level	Function	Type	growth morphology	Likelihood	Notes	Citation/Source
Platychora	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Platygloea	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Platygramme	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Platygrapha	7	Symbiotroph	Lichenized		Highly Probable	"Syn. Lecanactis, Lecanographa, Mazosia, Opegrapha, Paraschismatomma, Sigridea"	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Platygraphopsis	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Platypeltella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Platysma	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Platyspora pentamera	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Platysporoides	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Platystomum	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Platythecium	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Plecopteromyces	7	Symbiotroph	Animal gut		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Plectania	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Plectocarpon	7	Biotroph	Lichenicolous		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Plectocarpon cladoniae	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Plectocarpon lambinonii	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Plectocarpon lichenum	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Plectocarpon nashii	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Plectocarpon nephromeum	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Plectocarpon peltigerae	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Plectocarpon scrobiculatae	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Plectocarpon triebeliae	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Plectomyces	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Plectosphaera	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Plectosphaerella	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Plectosporium	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Plectosporium tabacinum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleistophora	7	Biotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Plenodomas destruens	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Plenodomus	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Plenodomus meliloti	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleochaeta	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleocyta sacchari	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleomassaria	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleomeliola	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleomelogramma	7	Saprotroph		Facultative yeast	Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleomerium	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleopsidium	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Pleoseptum	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleosphaeria	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleosphaerulina	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleosphaerulina sojicola	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleospora	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleospora alfalfae	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleospora allii	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleospora betae	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleospora herbarum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleospora lycopersici	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleospora tarda	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleospora theae	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleuroascus	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleurobotrya	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleurocatena	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleuroceras	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleurococcus	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Pleurocybella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleurocytospora	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleurodon	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleuroflammula	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleurophomella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleurophomopsis	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleurosticta	7	Symbiotroph	Lichenized		Highly Probable		Outline of Ascomycota (http://www.fieldmuseum.org/myconet)
Pleurostoma	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleurostomophora	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleurotellus	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleurotheciella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleurothecium	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleurotheliopsis	7	Symbiotroph	Lichenized		Highly Probable	Syn. Anthracothecium	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Pleurotrema	7	Symbiotroph	Lichenized		Highly Probable	Syn. Anisomeridium	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Pleurotus	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pleurotus dryinus	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleurotus ostreatus	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Plicaria	7	Symbiotroph	Ectomycorrhizal		Possible		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263 (Not ECM)"
Plicariella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Plicatura	7	Saprotroph	White rot		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Plicaturopsis	7	Saprotroph	White rot		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Plochmopeltis	7	Biotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ploioderma	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Plokamidomyces	7	Biotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Plowrightia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Plurispermiopsis	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pluteolus	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pluteus	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pneumocystis	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Pneumocystis carinii	8	Biotroph	Animal Pathogen|Human Pathogen		Highly Probable	Opportunistic pathogens	"Bowman BH, Taylor JW, White TJ. Molecular Biology and Evolution 9: 893-904"
Pochonia	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pocillum	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Poculinia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Poculopsis	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Poculum	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Podaxis	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Podisoma	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Podochytrium	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pododimeria	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Podofomes	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Podohydnangium	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Podoloma	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Podonectria	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Podoplaconema	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Podoporia	7	Saprotroph			Probable	Brown rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Podoscypha	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Podoserpula	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Podosordaria	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Podosphaera	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Podosphaera clandestina	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Podosphaera leucotricha	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Podosphaera macularis	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Podosphaera tridactyla	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Podosphaera xanthii	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Podospora	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Podostroma	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Podostrombium	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Poeltiaria	7	Symbiotroph	Lichenized		Highly Probable		Outline of Ascomycota (http://www.fieldmuseum.org/myconet)
Poeltidea	7	Symbiotroph	Lichenized		Highly Probable		Outline of Ascomycota (http://www.fieldmuseum.org/myconet)
Poeltinula	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Poetschia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Poitrasia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polaroscyphus	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polioma	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Poliomopsis	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polistroma	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pollaccia	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polyandromyces	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polyascomyces	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polyblastia	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polyblastiopsis	7	Symbiotroph	Lichenized		Highly Probable	Syn. Julella	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polycauliona	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polycephalomyces	7	Biotroph	Mycoparasite		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polycephalomyces formosus	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Polycephalomyces ramosus	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Polycephalomyces tomentosus	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Polychaetella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polychaeton	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polychidium	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polychytrium	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polyclypeolina	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polycoccum	7	Biotroph	Lichenicolous		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polycoccum bryonthae	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polycoccum clauzadei	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polycoccum hymeniicola	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polycoccum kerneri	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polycoccum laursenii	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polycoccum microsticticum	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polycoccum minutulum	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polycoccum opulentum	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polycoccum peltigerae	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polycoccum pulvinatum	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polycoccum sporastatiae	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polycoccum squamarioides	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polycoccum trypethelioides	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polycoccum vermicularium	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polycornum	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polycyclina	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polycyclinopsis	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polycyclus	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polycytella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polydesmi pruinosa	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Polydesmia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polydesmia lichenis	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polydiscidium	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polymeridium	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polymorphum	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polyozellus	7	Symbiotroph	Ectomycorrhizal		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polypaecilum	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polypedia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polyphagus	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polyphlyctis	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polyplosphaeria	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polyporellus	7	Saprotroph	Wood Rot		Highly Probable	White Rot	"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Polyporoletus	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Polyporopsis	7	Biotroph	Plant pathogen		Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polyporus	7	Saprotroph	Wood Rot		Highly Probable	White Rot	"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Polypyrenula	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polyrhizon	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polyscytalum pustulans	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Polyspora	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polysporina	7	Symbiotroph	Lichenized		Possible	Lichenized and non-licenized taxa	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polysporinopsis	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polystictus	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polystigma	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polystigma ochraceum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Polystigmina	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polystomella	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polystomellina	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polythelis	7	Symbiotroph	Lichenized		Possible	Syn. Polypyrenula	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Polythrincium	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polythrincium trifolii	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Polytolypa	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Polyzellus	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263"
Pomatomyces	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ponticulomyces	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Pontoporeia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Poria	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Porina	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Porinella	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Porinomyces	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Porinula	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Poriodontia	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Poroconiochaeta	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Porocyphus	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Porodaedalea	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Porodisculus	7	Biotroph	Plant pathogen		Probable	Brown rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Porodiscus	7	Saprotroph	Wood Rot		Highly Probable	White Rot	"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Porogramme	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Poroleprieuria	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Poromycena	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Poronia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Poronidulus	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Porophoromyces	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Porostereum	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Porotenus	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Porphyrellus	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
